dispatching_base_number,date,active_vehicles,trips,year,month,weekday,trips_per_vehicle
B02682,2015-01-17,1137,11382,2015,1,Saturday,10.010554089709762
B02765,2015-01-17,252,2160,2015,1,Saturday,8.571428571428571
B02617,2015-01-17,1306,12676,2015,1,Saturday,9.705972434915774
B02764,2015-01-17,3657,36318,2015,1,Saturday,9.931091058244462
B02512,2015-01-18,177,1521,2015,1,Sunday,8.59322033898305
B02598,2015-01-18,869,9443,2015,1,Sunday,10.866513233601841
B02765,2015-01-18,248,2287,2015,1,Sunday,9.221774193548388
B02764,2015-01-18,3290,35182,2015,1,Sunday,10.693617021276596
B02682,2015-01-18,1056,11161,2015,1,Sunday,10.569128787878787
B02617,2015-01-18,1223,12879,2015,1,Sunday,10.530662305805397
B02682,2015-01-19,883,7028,2015,1,Monday,7.959229898074745
B02617,2015-01-19,992,7775,2015,1,Monday,7.837701612903226
B02765,2015-01-19,238,1568,2015,1,Monday,6.588235294117647
B02764,2015-01-19,2958,22750,2015,1,Monday,7.691007437457742
B02512,2015-01-19,168,1025,2015,1,Monday,6.101190476190476
B02598,2015-01-19,706,5609,2015,1,Monday,7.944759206798867
B02598,2015-01-20,944,7206,2015,1,Tuesday,7.633474576271187
B02682,2015-01-20,1151,8496,2015,1,Tuesday,7.3814074717636835
B02512,2015-01-20,221,1310,2015,1,Tuesday,5.927601809954751
B02764,2015-01-20,3654,26137,2015,1,Tuesday,7.152983032293377
B02765,2015-01-20,272,1608,2015,1,Tuesday,5.911764705882353
B02617,2015-01-20,1350,10015,2015,1,Tuesday,7.4185185185185185
B02764,2015-01-21,3718,27344,2015,1,Wednesday,7.35449166218397
B02512,2015-01-21,242,1519,2015,1,Wednesday,6.276859504132231
B02682,2015-01-21,1228,9472,2015,1,Wednesday,7.713355048859935
B02598,2015-01-21,1035,8041,2015,1,Wednesday,7.769082125603865
B02765,2015-01-21,296,1774,2015,1,Wednesday,5.993243243243243
B02617,2015-01-21,1429,10997,2015,1,Wednesday,7.695591322603219
B02617,2015-01-22,1471,12143,2015,1,Thursday,8.254928619986403
B02764,2015-01-22,3889,30091,2015,1,Thursday,7.737464643867318
B02512,2015-01-22,246,1551,2015,1,Thursday,6.304878048780488
B02598,2015-01-22,1071,9080,2015,1,Thursday,8.478057889822596
B02682,2015-01-22,1295,10699,2015,1,Thursday,8.261776061776061
B02765,2015-01-22,295,2038,2015,1,Thursday,6.908474576271186
B02598,2015-01-23,1093,9343,2015,1,Friday,8.548032936870998
B02512,2015-01-23,246,1670,2015,1,Friday,6.788617886178862
B02765,2015-01-23,299,2162,2015,1,Friday,7.230769230769231
B02764,2015-01-23,4040,33756,2015,1,Friday,8.355445544554456
B02617,2015-01-23,1482,13121,2015,1,Friday,8.85357624831309
B02682,2015-01-23,1330,11767,2015,1,Friday,8.847368421052632
B02598,2015-01-24,945,10040,2015,1,Saturday,10.624338624338625
B02764,2015-01-24,3652,39187,2015,1,Saturday,10.730284775465499
B02512,2015-01-24,211,1608,2015,1,Saturday,7.62085308056872
B02617,2015-01-24,1367,14143,2015,1,Saturday,10.346013167520118
B02682,2015-01-24,1223,13355,2015,1,Saturday,10.919869174161898
B02765,2015-01-24,245,2376,2015,1,Saturday,9.69795918367347
B02512,2015-01-25,183,1190,2015,1,Sunday,6.502732240437158
B02764,2015-01-25,3300,28066,2015,1,Sunday,8.504848484848484
B02765,2015-01-25,226,1755,2015,1,Sunday,7.765486725663717
B02598,2015-01-25,829,7219,2015,1,Sunday,8.708082026537998
B02682,2015-01-25,1046,9303,2015,1,Sunday,8.893881453154876
B02617,2015-01-25,1203,10362,2015,1,Sunday,8.613466334164588
B02617,2015-01-26,1150,7608,2015,1,Monday,6.615652173913044
B02598,2015-01-26,860,5919,2015,1,Monday,6.882558139534884
B02765,2015-01-26,230,1363,2015,1,Monday,5.926086956521739
B02764,2015-01-26,3012,19940,2015,1,Monday,6.620185922974768
B02682,2015-01-26,1084,7565,2015,1,Monday,6.978782287822878
B02512,2015-01-26,197,1000,2015,1,Monday,5.0761421319796955
B02682,2015-01-27,600,4414,2015,1,Tuesday,7.3566666666666665
B02765,2015-01-27,135,921,2015,1,Tuesday,6.822222222222222
B02617,2015-01-27,596,4325,2015,1,Tuesday,7.256711409395973
B02598,2015-01-27,434,2957,2015,1,Tuesday,6.813364055299539
B02512,2015-01-27,112,629,2015,1,Tuesday,5.616071428571429
B02764,2015-01-27,1619,11998,2015,1,Tuesday,7.410747374922792
B02764,2015-01-28,3692,28137,2015,1,Wednesday,7.6210725893824485
B02682,2015-01-28,1235,10025,2015,1,Wednesday,8.117408906882591
B02765,2015-01-28,286,1913,2015,1,Wednesday,6.688811188811189
B02617,2015-01-28,1356,10862,2015,1,Wednesday,8.010324483775811
B02598,2015-01-28,1011,8071,2015,1,Wednesday,7.983184965380811
B02512,2015-01-28,235,1438,2015,1,Wednesday,6.1191489361702125
B02617,2015-01-29,1474,12600,2015,1,Thursday,8.548168249660787
B02764,2015-01-29,3959,31637,2015,1,Thursday,7.991159383682748
B02682,2015-01-29,1316,11485,2015,1,Thursday,8.727203647416413
B02765,2015-01-29,295,2086,2015,1,Thursday,7.071186440677966
B02512,2015-01-29,250,1687,2015,1,Thursday,6.748
B02598,2015-01-29,1082,9499,2015,1,Thursday,8.779112754158964
B02512,2015-01-30,256,2016,2015,1,Friday,7.875
B02617,2015-01-30,1501,14793,2015,1,Friday,9.855429713524318
B02682,2015-01-30,1384,13852,2015,1,Friday,10.008670520231213
B02764,2015-01-30,4124,39110,2015,1,Friday,9.483511154219205
B02765,2015-01-30,322,2785,2015,1,Friday,8.649068322981366
B02598,2015-01-30,1106,11167,2015,1,Friday,10.096745027124774
B02765,2015-01-31,309,3282,2015,1,Saturday,10.62135922330097
B02512,2015-01-31,225,1892,2015,1,Saturday,8.408888888888889
B02617,2015-01-31,1394,15756,2015,1,Saturday,11.302725968436155
B02682,2015-01-31,1321,15388,2015,1,Saturday,11.64875094625284
B02764,2015-01-31,3947,44297,2015,1,Saturday,11.222954142386623
